Date,Value,year,month_num,month_lab,name
200001,46.5,2000,1,Jan,Alabama
200002,52.3,2000,2,Feb,Alabama
200003,58.9,2000,3,Mar,Alabama
200004,60.1,2000,4,Apr,Alabama
200005,74,2000,5,May,Alabama
200006,77.6,2000,6,Jun,Alabama
200007,81.9,2000,7,Jul,Alabama
200008,81,2000,8,Aug,Alabama
200009,73.9,2000,9,Sep,Alabama
200010,64.6,2000,10,Oct,Alabama
200011,52.8,2000,11,Nov,Alabama
200012,39.2,2000,12,Dec,Alabama
200101,41.2,2001,1,Jan,Alabama
200102,52.6,2001,2,Feb,Alabama
200103,51.4,2001,3,Mar,Alabama
200104,64.7,2001,4,Apr,Alabama
200105,70.6,2001,5,May,Alabama
200106,75.8,2001,6,Jun,Alabama
200107,79.7,2001,7,Jul,Alabama
200108,78.5,2001,8,Aug,Alabama
200109,71.9,2001,9,Sep,Alabama
200110,60.6,2001,10,Oct,Alabama
200111,58.8,2001,11,Nov,Alabama
200112,50.6,2001,12,Dec,Alabama
200201,46.8,2002,1,Jan,Alabama
200202,46,2002,2,Feb,Alabama
200203,55,2002,3,Mar,Alabama
200204,66.4,2002,4,Apr,Alabama
200205,70.2,2002,5,May,Alabama
200206,77.2,2002,6,Jun,Alabama
200207,80.3,2002,7,Jul,Alabama
200208,79.7,2002,8,Aug,Alabama
200209,77.3,2002,9,Sep,Alabama
200210,67.8,2002,10,Oct,Alabama
200211,51,2002,11,Nov,Alabama
200212,45.2,2002,12,Dec,Alabama
200301,40,2003,1,Jan,Alabama
200302,48,2003,2,Feb,Alabama
200303,57.6,2003,3,Mar,Alabama
200304,63.3,2003,4,Apr,Alabama
200305,71.6,2003,5,May,Alabama
200306,75.6,2003,6,Jun,Alabama
200307,78.5,2003,7,Jul,Alabama
200308,79.4,2003,8,Aug,Alabama
200309,73.1,2003,9,Sep,Alabama
200310,63.5,2003,10,Oct,Alabama
200311,58.2,2003,11,Nov,Alabama
200312,44,2003,12,Dec,Alabama
200401,44.2,2004,1,Jan,Alabama
200402,45.4,2004,2,Feb,Alabama
200403,59,2004,3,Mar,Alabama
200404,61.2,2004,4,Apr,Alabama
200405,72.7,2004,5,May,Alabama
200406,76.8,2004,6,Jun,Alabama
200407,79.2,2004,7,Jul,Alabama
200408,76.3,2004,8,Aug,Alabama
200409,73.8,2004,9,Sep,Alabama
200410,68.5,2004,10,Oct,Alabama
200411,57.8,2004,11,Nov,Alabama
200412,45.1,2004,12,Dec,Alabama
200501,49.2,2005,1,Jan,Alabama
200502,51.2,2005,2,Feb,Alabama
200503,53.5,2005,3,Mar,Alabama
200504,61,2005,4,Apr,Alabama
200505,68.3,2005,5,May,Alabama
200506,76.7,2005,6,Jun,Alabama
200507,80.4,2005,7,Jul,Alabama
200508,80.5,2005,8,Aug,Alabama
200509,76.9,2005,9,Sep,Alabama
200510,63.8,2005,10,Oct,Alabama
200511,55.8,2005,11,Nov,Alabama
200512,43.4,2005,12,Dec,Alabama
200601,51.1,2006,1,Jan,Alabama
200602,46.1,2006,2,Feb,Alabama
200603,56.1,2006,3,Mar,Alabama
200604,67.5,2006,4,Apr,Alabama
200605,70.4,2006,5,May,Alabama
200606,78.1,2006,6,Jun,Alabama
200607,81.9,2006,7,Jul,Alabama
200608,82.3,2006,8,Aug,Alabama
200609,72.8,2006,9,Sep,Alabama
200610,61.9,2006,10,Oct,Alabama
200611,52.8,2006,11,Nov,Alabama
200612,49.4,2006,12,Dec,Alabama
200701,46.7,2007,1,Jan,Alabama
200702,44.8,2007,2,Feb,Alabama
200703,60,2007,3,Mar,Alabama
200704,60,2007,4,Apr,Alabama
200705,71.2,2007,5,May,Alabama
200706,78.8,2007,6,Jun,Alabama
200707,79.2,2007,7,Jul,Alabama
200708,84.4,2007,8,Aug,Alabama
200709,76,2007,9,Sep,Alabama
200710,66.5,2007,10,Oct,Alabama
200711,53.6,2007,11,Nov,Alabama
200712,51.6,2007,12,Dec,Alabama
200801,43,2008,1,Jan,Alabama
200802,49.2,2008,2,Feb,Alabama
200803,55.2,2008,3,Mar,Alabama
200804,62.8,2008,4,Apr,Alabama
200805,70.3,2008,5,May,Alabama
200806,78.7,2008,6,Jun,Alabama
200807,80,2008,7,Jul,Alabama
200808,78.4,2008,8,Aug,Alabama
200809,74.5,2008,9,Sep,Alabama
200810,62.2,2008,10,Oct,Alabama
200811,51,2008,11,Nov,Alabama
200812,49.7,2008,12,Dec,Alabama
200901,45.3,2009,1,Jan,Alabama
200902,48.2,2009,2,Feb,Alabama
200903,57.3,2009,3,Mar,Alabama
200904,61.4,2009,4,Apr,Alabama
200905,71.2,2009,5,May,Alabama
200906,79.4,2009,6,Jun,Alabama
200907,78.1,2009,7,Jul,Alabama
200908,78,2009,8,Aug,Alabama
200909,75,2009,9,Sep,Alabama
200910,62.8,2009,10,Oct,Alabama
200911,53.4,2009,11,Nov,Alabama
200912,44.8,2009,12,Dec,Alabama
201001,40,2010,1,Jan,Alabama
201002,40.6,2010,2,Feb,Alabama
201003,51.2,2010,3,Mar,Alabama
