Alabama Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,46.5
200002,52.3
200003,58.9
200004,60.1
200005,74.0
200006,77.6
200007,81.9
200008,81.0
200009,73.9
200010,64.6
200011,52.8
200012,39.2
200101,41.2
200102,52.6
200103,51.4
200104,64.7
200105,70.6
200106,75.8
200107,79.7
200108,78.5
200109,71.9
200110,60.6
200111,58.8
200112,50.6
200201,46.8
200202,46.0
200203,55.0
200204,66.4
200205,70.2
200206,77.2
200207,80.3
200208,79.7
200209,77.3
200210,67.8
200211,51.0
200212,45.2
200301,40.0
200302,48.0
200303,57.6
200304,63.3
200305,71.6
200306,75.6
200307,78.5
200308,79.4
200309,73.1
200310,63.5
200311,58.2
200312,44.0
200401,44.2
200402,45.4
200403,59.0
200404,61.2
200405,72.7
200406,76.8
200407,79.2
200408,76.3
200409,73.8
200410,68.5
200411,57.8
200412,45.1
200501,49.2
200502,51.2
200503,53.5
200504,61.0
200505,68.3
200506,76.7
200507,80.4
200508,80.5
200509,76.9
200510,63.8
200511,55.8
200512,43.4
200601,51.1
200602,46.1
200603,56.1
200604,67.5
200605,70.4
200606,78.1
200607,81.9
200608,82.3
200609,72.8
200610,61.9
200611,52.8
200612,49.4
200701,46.7
200702,44.8
200703,60.0
200704,60.0
200705,71.2
200706,78.8
200707,79.2
200708,84.4
200709,76.0
200710,66.5
200711,53.6
200712,51.6
200801,43.0
200802,49.2
200803,55.2
200804,62.8
200805,70.3
200806,78.7
200807,80.0
200808,78.4
200809,74.5
200810,62.2
200811,51.0
200812,49.7
200901,45.3
200902,48.2
200903,57.3
200904,61.4
200905,71.2
200906,79.4
200907,78.1
200908,78.0
200909,75.0
200910,62.8
200911,53.4
200912,44.8
201001,40.0
201002,40.6
201003,51.2
201004,64.2
201005,73.3
201006,80.9
201007,82.6
201008,83.0
201009,76.9
201010,64.3
201011,55.2
201012,40.3
201101,41.1
201102,49.5
201103,57.8
201104,65.7
201105,69.9
201106,81.2
201107,81.7
201108,81.8
201109,72.1
201110,60.6
201111,55.3
201112,49.3
201201,50.1
201202,52.1
201203,64.6
201204,65.0
201205,73.4
201206,76.8
201207,81.6
201208,78.1
201209,73.0
201210,62.2
201211,51.2
201212,50.9
201301,50.0
201302,48.0
201303,49.8
201304,62.2
201305,68.2
201306,78.0
201307,77.7
201308,77.9
201309,75.0
201310,64.9
201311,51.6
201312,47.9
201401,37.3
201402,47.3
201403,52.3
201404,62.4
201405,70.2
201406,77.9
201407,77.8
201408,79.5
201409,76.3
201410,65.2
201411,48.2
201412,50.0
201501,43.6
201502,41.3
201503,57.8
201504,66.0
201505,71.8
201506,78.8
201507,81.6
201508,79.0
201509,74.4
201510,65.0
201511,59.2
201512,56.9
201601,43.0
201602,49.8
201603,59.7
201604,63.6
201605,70.2
201606,79.2
201607,82.0
201608,81.6
201609,78.6
201610,68.5
201611,57.8
201612,50.1
201701,52.4
201702,55.6
201703,58.4
201704,67.2
201705,69.9
201706,75.8
201707,80.6
201708,78.8
201709,73.4
201710,65.8
201711,55.6
201712,46.9
201801,40.4
201802,58.0
201803,55.4
201804,59.5
201805,74.4
201806,79.3
201807,80.7
201808,79.5
201809,79.4
201810,67.4
201811,50.4
201812,49.0
201901,46.5
201902,56.1
201903,55.0
201904,63.5
201905,74.2
201906,78.1
201907,80.6
201908,80.6
201909,80.2
201910,67.8
201911,50.6
201912,51.3
202001,49.5
202002,51.0
202003,63.5
202004,62.0
202005,68.9
202006,76.9
202007,80.9
202008,80.2
202009,74.3
202010,66.9
202011,58.4
202012,45.9
202101,46.6
202102,46.7
202103,59.6
202104,61.6
202105,69.4
202106,77.0
202107,79.3
202108,80.0
202109,73.9
202110,67.3
202111,52.2
202112,56.8
202201,43.9
202202,50.1
202203,57.5
202204,62.5
202205,73.4
202206,80.3
202207,81.6
202208,79.2
202209,73.8
202210,61.2
202211,55.3
202212,49.1
202301,51.5
202302,56.4
202303,58.7
202304,63.2
202305,70.3
202306,76.6
202307,81.1
202308,82.2
202309,75.8
