BAND,EVENT_DATE,EVENT_YEAR,EVENT_MONTH,LAT_DD,LON_DD
B97965778658,03/07/2012,2012,3,48.5,-122.5
B77965778616,03/07/2012,2012,3,48.5,-122.5
B87965778877,03/07/2012,2012,3,48.5,-122.5
B77965777897,03/21/2012,2012,3,48.5,-122.5
B89465809408,10/08/2012,2012,10,48.5,-122.5
B59465809596,10/08/2012,2012,10,48.5,-122.5
B28025675385,10/17/2012,2012,10,48.5,-122.5
B18025675116,10/17/2012,2012,10,48.5,-122.5
B28025674742,10/24/2012,2012,10,48.5,-122.5
B37965724317,10/29/2012,2012,10,48.5,-122.5
B77965723246,01/02/2013,2013,1,48.5,-122.5
B07815305093,04/05/2020,2020,4,49.74029,-112.46684
B97965778658,10/03/2012,2012,10,49.08333,-123.15
B77965778616,12/15/2012,2012,12,49.15359,-123.17431
B77965778616,03/04/2013,2013,3,49.17114,-123.19721
B17815762906,11/08/2016,2016,11,49.04174,-123.06734
B77815762087,11/08/2016,2016,11,49.04174,-123.06734
B67815769577,10/22/2017,2017,10,49.05594,-123.13464
B77815762002,03/09/2018,2018,3,49.08333,-123.15
B27815762547,11/05/2018,2018,11,49.1295,-123.87146
B77815762002,10/24/2019,2019,10,49.17354,-123.19292
B77815762002,03/13/2020,2020,3,49.17161,-123.19804
B77815762002,04/02/2020,2020,4,49.16667,-123.11667
B58235118271,01/09/2020,2020,1,35.81475,-90.91133
B68475605086,11/21/2000,2000,11,35.25,-118.5
B68475605888,11/21/2000,2000,11,35.25,-118.5
B68475605086,12/16/2000,2000,12,35.58333,-117.75
B68475605888,12/16/2000,2000,12,35.58333,-117.75
B68475605888,11/07/2001,2001,11,35.58333,-117.58333
B68475605086,11/26/2001,2001,11,35.58333,-117.58333
B68475605888,11/27/2001,2001,11,35.58333,-117.58333
B68475605888,12/14/2001,2001,12,35.58333,-117.58333
B68475605086,12/15/2001,2001,12,35.58333,-117.75
B68475605888,01/21/2003,2003,1,35.75,-117.75
B38235113903,11/03/2003,2003,11,35.58333,-117.58333
B58235112752,12/03/2003,2003,12,35.58333,-117.58333
B38235113903,12/04/2003,2003,12,35.58333,-117.58333
B38235113903,12/14/2003,2003,12,35.58333,-117.58333
B38235113903,01/16/2004,2004,1,35.58333,-117.75
B48495398814,01/28/2004,2004,1,35.58333,-117.58333
B58235112752,10/25/2004,2004,10,35.58333,-117.58333
B58235112752,10/30/2004,2004,10,35.58333,-117.58333
B58235112752,11/01/2004,2004,11,35.58333,-117.58333
B58235112752,11/15/2004,2004,11,35.58333,-117.58333
B48495398814,12/30/2006,2006,12,35.58333,-117.75
B58235112752,03/11/2007,2007,3,35.58333,-117.58333
B48495398814,02/10/2008,2008,2,35.58333,-117.75
B38235110318,01/25/2011,2011,1,39.58333,-122.08333
B18105609376,12/04/2011,2011,12,39.41667,-122.08333
B18105609376,11/23/2012,2012,11,39.42415,-122.16884
B18105609376,01/19/2013,2013,1,39.4085,-122.16609
B18105609376,02/16/2013,2013,2,39.42322,-122.16223
B38235110318,12/10/2013,2013,12,39.1864,-122.05464
B38235110318,12/19/2013,2013,12,39.15739,-122.04331
B38235110318,01/28/2014,2014,1,39.15739,-122.04331
B57815762197,11/21/2016,2016,11,39.4085,-122.16609
B67815366063,11/28/2017,2017,11,39.15739,-122.04331
B17815769381,11/28/2017,2017,11,39.15739,-122.04331
B57815762197,12/05/2017,2017,12,39.42468,-122.15648
B67815366063,12/14/2017,2017,12,39.15739,-122.04331
B17815769381,12/18/2017,2017,12,39.4085,-122.16609
B67815366063,12/18/2017,2017,12,39.15739,-122.04331
B67815366063,12/25/2017,2017,12,39.15739,-122.04331
B67815366063,01/26/2018,2018,1,39.15739,-122.04331
B07815305093,01/26/2018,2018,1,39.52433,-122.19359
B07815305093,02/11/2018,2018,2,39.52433,-122.04385
B67815366063,01/01/2019,2019,1,39.15739,-122.04331
B37815366763,11/17/2019,2019,11,39.4085,-122.16609
B57815762197,02/15/2020,2020,2,39.46171,-122.1602
B37815366286,03/12/2020,2020,3,37.17911,-120.63658
B37815366763,10/23/2020,2020,10,39.4085,-122.16609
B27815762547,01/18/2021,2021,1,38.01492,-121.67716
B57815762197,12/26/2021,2021,12,39.45258,-122.28623
B47815768471,02/22/2018,2018,2,43.67481,-116.99854
B87815762815,03/10/2018,2018,3,43.00686,-112.75777
B17815365945,01/23/2019,2019,1,43.66207,-116.91182
B38235110318,03/04/2020,2020,3,43.99095,-116.60383
B47815768471,03/05/2021,2021,3,43.78516,-116.94321
B07815305093,03/07/2022,2022,3,43.5656,-116.75111
B88495870684,02/02/2002,2002,2,37.41667,-94.58333
B88495870684,12/11/2001,2001,12,37.75,-94.41667
B88495870684,01/25/2004,2004,1,37.75,-94.25
B88495870684,11/25/2006,2006,11,38.08333,-94.08333
B27815762547,03/23/2017,2017,3,47.75606,-112.11251
B77815762087,03/27/2017,2017,3,47.65322,-111.91876
B17815762906,03/27/2017,2017,3,47.65322,-111.91876
B87815762815,03/23/2018,2018,3,47.6576,-111.92812
B77815762087,03/24/2018,2018,3,47.65958,-111.94708
B17815762906,03/24/2018,2018,3,47.65958,-111.94708
B87815768415,03/24/2018,2018,3,47.65542,-111.92425
B67815366063,03/24/2018,2018,3,47.67194,-111.92743
B37815366763,04/03/2018,2018,4,47.61467,-112.04236
B27815366237,04/04/2020,2020,4,48.10918,-114.22151
B58235118271,12/28/2012,2012,12,33.80561,-106.89225
B58235118271,01/20/2013,2013,1,33.80561,-106.89225
B58235118271,01/25/2013,2013,1,33.80561,-106.89225
B48495398814,11/10/2008,2008,11,39.58333,-118.58333
B17815365945,01/06/2018,2018,1,36.32208,-115.26713
B17815365945,02/17/2018,2018,2,36.32219,-115.26612
B17815365945,02/26/2018,2018,2,36.32219,-115.26612
B37965724317,01/18/2013,2013,1,45.73289,-122.77513
B28025674742,01/18/2013,2013,1,45.73242,-122.77582
B28025674742,02/04/2013,2013,2,45.75043,-122.77629
B28025675385,02/11/2015,2015,2,45.73233,-122.77552
B28025675385,02/02/2016,2016,2,45.76021,-122.77685
B17815769381,03/02/2017,2017,3,42.15066,-121.83352
B28025675385,10/17/2017,2017,10,45.71036,-122.8205
B87815366097,11/02/2017,2017,11,45.75785,-122.77256
B67815366133,11/02/2017,2017,11,45.75785,-122.77256
B67815366133,01/31/2018,2018,1,45.75714,-122.78002
B87815768415,01/31/2018,2018,1,45.75714,-122.78002
B87815366097,01/31/2018,2018,1,45.75714,-122.78002
B37965724317,02/05/2018,2018,2,45.73128,-122.77401
B87815366097,02/10/2018,2018,2,45.72067,-122.8026
B67815366133,02/10/2018,2018,2,45.72067,-122.8026
B17815769381,02/21/2018,2018,2,42.15799,-121.8158
B87815366097,11/05/2018,2018,11,45.75769,-122.77181
B87815768415,11/05/2018,2018,11,45.75769,-122.77181
B57815305421,11/05/2018,2018,11,45.75769,-122.77181
B17815762906,11/30/2018,2018,11,45.75675,-119.98766
B17815769381,02/09/2019,2019,2,42.11926,-121.85786
B77815769647,02/28/2019,2019,2,45.89986,-119.60114
B57815305421,11/02/2019,2019,11,45.72067,-122.8026
B87815768415,11/10/2019,2019,11,45.75851,-122.77242
B28025675385,12/03/2019,2019,12,45.73298,-122.77399
B87815768415,02/14/2020,2020,2,45.72067,-122.8026
B37815366286,02/07/2021,2021,2,45.89503,-119.58766
B57815305421,02/09/2021,2021,2,45.75786,-122.77655
B67815366133,02/19/2022,2022,2,45.73033,-122.77445
B87815366097,02/19/2022,2022,2,45.73033,-122.77445
B35935344683,01/15/2001,2001,1,48.41667,-122.41667
B45935348055,01/15/2001,2001,1,48.41667,-122.41667
B45935343253,01/22/2001,2001,1,48.41667,-122.41667
B35935344683,01/22/2001,2001,1,48.41667,-122.41667
B05935342075,01/22/2001,2001,1,48.41667,-122.41667
B55935340083,01/27/2001,2001,1,48.41667,-122.41667
B55935340083,04/02/2001,2001,4,48.41667,-122.41667
B35935344683,04/03/2001,2001,4,48.41667,-122.41667
B45935348055,04/04/2001,2001,4,48.41667,-122.41667
B45935343253,04/04/2001,2001,4,48.41667,-122.41667
B05935342075,02/13/2002,2002,2,48.25,-122.41667
B55935340083,02/16/2002,2002,2,48.25,-122.41667
B05935342075,04/06/2002,2002,4,48.41667,-122.41667
B45935348055,04/07/2002,2002,4,48.41667,-122.41667
B35935344683,04/26/2002,2002,4,48.25,-122.41667
B55935340083,02/09/2003,2003,2,48.25,-122.41667
